number,text,date,fav
1,manager work hates women iv never met woman hates women much does it’s subtle misogynistic actions things says belittle girls yet boys seem kings,2021-12-02 23:59:58+00:00,2
2,gotten boss said theyre right horrible made mistake hiring terrible employee like you fired me job kept roof head food table dont know now im sorry everything hope happy now,2021-12-02 23:58:58+00:00,0
3,boss went williamsburg last month said outlets pretty empty,2021-12-02 23:58:45+00:00,0
4,think manager hates confiscated phone one else’s illegal,2021-12-02 23:58:34+00:00,0
5,boss said cooking brand style veganhe said im stuffing stupid mouth bacon,2021-12-02 23:58:27+00:00,0
6,trucks disgusting boss mentioned me graduation ive irritated ever since,2021-12-02 23:58:01+00:00,0
7,boss oncefaultless  ,2021-12-02 23:58:01+00:00,2
8,id rather watch paint dry talk boss also me  works overtime ,2021-12-02 23:58:00+00:00,46
9,realest convo boss i’m sad he’s leaving ,2021-12-02 23:57:59+00:00,1
10,could come day off work 5 hours straight without break boss still ask more makes feel like im wasting time,2021-12-02 23:57:57+00:00,11
11,boss needs give 100k bonus it’s season giving i’ll glad take,2021-12-02 23:57:25+00:00,0
12,boss smartest person room time always knows shit know s hes smarter everybody,2021-12-02 23:57:08+00:00,0
13,ooh told wrong nice made appointment times longer manager told ex break affected promotability told manager customervictim domestic abuse said faking it,2021-12-02 23:57:04+00:00,5
14,told boss gotta work home half days thru month december grandpaw taking long month vacation 🐶😅,2021-12-02 23:56:59+00:00,0
15,sending manager imessage games clock playing back 🤣,2021-12-02 23:56:48+00:00,1
16,earlier write receipt set weights boss’s trainer bought him response name gym spelt “oh yeah see place every time go mcdonald’s” amp that’s saddest thing i’ve ever said,2021-12-02 23:56:23+00:00,0
17,also usually ask boss help stuff that’s paygrade nothing wrong there,2021-12-02 23:56:16+00:00,6
18,going tell boss match daily rome rebase quit,2021-12-02 23:55:58+00:00,8
19,good day manager im looking scholarship experience playing axie infinity manager sharing 1585 team maam rap return account sharing first day grind account 153 maam give chance scholar,2021-12-02 23:55:48+00:00,1
20,someone came handed boss decided leave out said cult thing shell pull research ,2021-12-02 23:55:45+00:00,5
21,yk ready come decent day work manager tells supposed yesterday even tho one contacted schedule change 🙃🙃,2021-12-02 23:55:44+00:00,0
22,trying show boss something internet started typing pornhub search bar outta habit,2021-12-02 23:55:21+00:00,0
23,hhere maybe use boss wink ,2021-12-02 23:55:01+00:00,3
24,homeless coming home iraq 2010 work apartment car car dies get let go boss landlord homeless work get hit car 2 weeks later hit another car still somehow get apartment work motorcycle accident homeless incoming hodl,2021-12-02 23:54:38+00:00,0
25,need yesterday imma take holidays lol boss better say anything unless wants kill someone ,2021-12-02 23:54:24+00:00,0
26,time working bbc horrendous menopause never forget boss put time really struggling life horrible time spurred ,2021-12-02 23:54:07+00:00,0
27,code for “i got caught boss making say this” adult time it’s disgusting,2021-12-02 23:54:00+00:00,10
28,cried manager called 911 me again struggling health im work,2021-12-02 23:53:53+00:00,0
29,there’s big document that’s passed new person role letters previous people held others like “we loved here” want spend mine encouraging future replacement tolerate boss’ bullshit lol,2021-12-02 23:53:48+00:00,0
30,unfortunately asuka manager tonight,2021-12-02 23:53:42+00:00,3
31,boss told came work today swamped hate cyber monday 😩,2021-12-02 23:53:39+00:00,0
32,oh also boss told one vendors tested positive stop coming bryant park,2021-12-02 23:53:27+00:00,1
33,boss hey let know get done me mark read boss end day get done me let know,2021-12-02 23:52:59+00:00,1
34,coworker tested positive covid boss convinced lied us vaccinatedi guess didn’t get memo vaccinated still getting covid,2021-12-02 23:52:44+00:00,1
35,boss “what’s premed give pr can’t take amox” ever pops text scenario better get right btw it’s medication needed take prior appointment clindamycin ,2021-12-02 23:52:37+00:00,2
36,need ways annoy boss,2021-12-02 23:52:26+00:00,1
37,lmao boss likes crack parent jokes forgetting didn’t grow mine amp feels horrible every time remind foster kid 😂😂😂 saying “your parents must loved you” amp like “damn guess huh” amp get gets 😳💀💀,2021-12-02 23:52:22+00:00,0
38,boss complaining “manager” level “director” level like department leads foisted third work day onto last minute rich,2021-12-02 23:52:21+00:00,1
39,one day boss asked found great women part tech group simple really went looking them time age men panels manels unacceptable fu meta verse ,2021-12-02 23:52:15+00:00,8
40,shoutouts manager hes fuckin legend,2021-12-02 23:52:15+00:00,27
41,attack manager viciously defend viciously,2021-12-02 23:52:07+00:00,3
42,man tipping £30 asking come junior manager restaurant  manager fumin’ trying poach  high demand ,2021-12-02 23:52:04+00:00,32
43,boss letting cut early thank prophets 😫❤️,2021-12-02 23:52:01+00:00,4
44,tipsy sentimental texted boss she’s bad btch i’m grateful her pass on,2021-12-02 23:51:59+00:00,3
45,boss new job randomly started talking she’s edm head past shows meeting dopest djs much awe,2021-12-02 23:51:51+00:00,1
46,im work boss care im phone long get stuff done,2021-12-02 23:51:32+00:00,1
47,man came restaurant sat bar immediately started saying weird profound shit paid got food gave 100 tip asked bf old am manager trying figure chains real weird day,2021-12-02 23:51:30+00:00,1
48,monarch major scientific organization specializes research monsters like godzilla kong internship 2 years died oneofakind ultrasmartsunglasses made dr serizawa boss whos dead ,2021-12-02 23:51:20+00:00,1
49,boss gives raise thinks i’m quit … think it’s time say i’ve looking jobs 💅🏽,2021-12-02 23:51:11+00:00,0
50,absolutely years ago threatened contempt court jail fine objecting jerk judge giving every single delinquent dad christmas start paying da job back state boss reprimanded also justice ain’t,2021-12-02 23:51:08+00:00,1
51,bruhhhhh manager always schedule meetings 330 sit staring screen like nigga leave 330 ,2021-12-02 23:51:06+00:00,1
52,cleaning manager like don’t trust u supervisor i’ve told u things early whatever like ugh feel crappy,2021-12-02 23:50:58+00:00,3
53,manager told warm welcoming voice never let go compliment,2021-12-02 23:50:55+00:00,2
54,yes i aap team mmr 1500 last season returned manager due bad connection looking aap team 🥺😊🥺,2021-12-02 23:50:43+00:00,0
