number,text,date,fav
1,love working day shift  boss even treated starbucks sweetest 💘,2021-12-04 23:59:47+00:00,1
2,manager let take chocolate home make chocolate covered strawberries lord aine gone never lose weight 😩,2021-12-04 23:59:36+00:00,0
3,got verbally murdered boss demand compensation form date boss,2021-12-04 23:58:55+00:00,0
4,boss shocked told mentioned know japanese numbers german,2021-12-04 23:58:52+00:00,0
5,happy weekend😉 sit work head🥺🤫 vacation😔 mnet stage shook💃 crazyeveryone🔥 looked little rough😅😏 wanted tell boss every word song😌🎵rap🎉 really super🦸‍♂️ ⚡jaybumaom⚡ ,2021-12-04 23:58:50+00:00,1
6,remembered boss gave fruity pebbles edible 🙌🏾😩,2021-12-04 23:58:50+00:00,0
7,manager dannyin ,2021-12-04 23:58:46+00:00,4
8,boss,2021-12-04 23:58:29+00:00,0
9,yah  boss time couldn’t say anything even wanted 😱😂🤪,2021-12-04 23:57:55+00:00,0
10,pic boss sent post vs one took instead ,2021-12-04 23:57:24+00:00,4
11,naurrrr manager use euphoria jin’s bday post lmao girl…,2021-12-04 23:57:22+00:00,2
12,boss fucking likes me… ,2021-12-04 23:56:31+00:00,1
13,boss stays sharpp ⚡️⚡️,2021-12-04 23:55:48+00:00,1
14,ok no literally conversation boss yesterday,2021-12-04 23:55:00+00:00,0
15,knew work environment one caught manager photoshopping kirby onto covid check log 20 min,2021-12-04 23:54:31+00:00,4
16,god please protect boss throughout 2022 he’s  🙌🏾 ,2021-12-04 23:54:28+00:00,0
17,boss skirt sure looks sexy bent grab file me don’t think father thought bought me😡 boss bet did🤮,2021-12-04 23:53:09+00:00,2
18,always front boss… like… come on… anyone boss pls… ,2021-12-04 23:53:01+00:00,1
19,boss let leave work early time see teams lose,2021-12-04 23:53:00+00:00,5
20,cool  back 87 boss warren anderson squirell kerry packer uhid shooting floodplains litchfield elizabeth downs week later smell overpowering,2021-12-04 23:52:41+00:00,1
21,boss facetimed me don’t get report soon promotion going michael instead me need stop getting distracted… ,2021-12-04 23:52:27+00:00,4
22,boss gave uneaten tuna packet lunch cuz whole 28 name right news car finally fixed,2021-12-04 23:51:59+00:00,6
23,sent boss seen work mcdonalds hahaha 😂 im lovin crikey,2021-12-04 23:51:56+00:00,0
24,boss ,2021-12-04 23:51:46+00:00,1
25,hi best feeling world hearing boss sing music added shop playlist today distraction glitterer,2021-12-04 23:51:28+00:00,3
26,telling boss give whole week literally live la see bts ,2021-12-04 23:51:26+00:00,0
27,today jayz’s birthday today manager’s birthday read really fast drinks may believe i’m repped rocnation basically i’m bffs beyoncé ,2021-12-04 23:51:14+00:00,1
28,posting instagram cause took work manager follows ,2021-12-04 23:50:48+00:00,10
29,know tell boss,2021-12-04 23:50:44+00:00,0
30,actually today favor manager even though shift ended ,2021-12-04 23:49:30+00:00,0
31,bc manager like “hey come in” amp i’m like ,2021-12-04 23:49:26+00:00,1
32,boss really good person ☺️,2021-12-04 23:49:12+00:00,0
33,boss told good day went home,2021-12-04 23:49:02+00:00,0
34,ask boss get back you sound engineer may mind,2021-12-04 23:48:53+00:00,1
35,manager hilarious ,2021-12-04 23:47:11+00:00,2
36,dad until alzheimer’s boss,2021-12-04 23:47:06+00:00,0
37,waiting manager send video,2021-12-04 23:46:41+00:00,1
38,boss please find someone cover sunday study 2 tests 3 presentations monday boss best let come 15 hours late,2021-12-04 23:46:09+00:00,1
39,accidentally texted boss “no problem slatty”,2021-12-04 23:46:06+00:00,5
40,manager said could go home early 🥳 finna start weekend amp im outside tonight 🥰,2021-12-04 23:45:56+00:00,0
41,boss hypes much im always scared,2021-12-04 23:45:55+00:00,0
42,think manager want piece da kid kizzy,2021-12-04 23:45:49+00:00,0
43,that’s manager redmen ,2021-12-04 23:45:46+00:00,0
44,rumours true wasn’t decision…what’s supposed say…”my boss wouldnt let fire coach” call said supports coach…valid stance need engage crazy fans heat moment…jurich didn’t kept krags,2021-12-04 23:45:23+00:00,0
45,nowhere near chief staff material i’m smart enough publish incriminating information boss hell thinking,2021-12-04 23:45:22+00:00,1
46,boss told face ask know i’m quick sat like 🧍🏻‍♀️ ,2021-12-04 23:45:22+00:00,0
47,im work right trying sneak drawing boss looking ,2021-12-04 23:44:38+00:00,2
48,boss sent home bc sound like i’m dying lfmao love,2021-12-04 23:44:29+00:00,1
49,boss going good 300 was greek behavior,2021-12-04 23:44:24+00:00,10
50,boss leaving early making psycho lock basement full many mannequins day alone really thought going die there😰,2021-12-04 23:44:22+00:00,5
51,boss work hot sooo evil like fucking hate hes dilf literally interesting dynamic going life,2021-12-04 23:43:12+00:00,0
