number,text,date,fav
1,manager work told everyone she’s pregnant i’m 🥺🥺🥺🥺,2021-12-03 23:59:38+00:00,0
2,boss got mad taking lunch late literally homeboys fault,2021-12-03 23:59:35+00:00,0
3,spiritual never fall 🙏 baba still wan disburse rice hampers followers 🤯 wow e go spoil boss loke loke lola kunfayakun,2021-12-03 23:59:29+00:00,0
4,never forget text manager said “we issue” explained happened sent 😭😭 ,2021-12-03 23:59:00+00:00,7
5,manager said made cry want watch lol,2021-12-03 23:58:54+00:00,1
6,accidentally hit reply trying tell boss received understood bye,2021-12-03 23:58:50+00:00,1
7,boss probably toxic man life rn,2021-12-03 23:58:31+00:00,1
8,really hope somehow bossuncle 2nd cousin see twitter realize much seriously appreciate help realizing hate job every fiber being rich fucking cunts,2021-12-03 23:58:20+00:00,1
9,guy talk like stupid manager wasn’t would asshole,2021-12-03 23:58:09+00:00,1
10,got little paperback book librarian solves mysteries cat guess series boss like wow almost like written you,2021-12-03 23:58:04+00:00,2
11,quick update this got chewed boss willingly work annual review clock like asked too asked why said like unpaid work because wage theft literally illegal ,2021-12-03 23:58:03+00:00,38
12,lmaooo boss really read clients birth charts 😂😂,2021-12-03 23:57:45+00:00,0
13,work hour i’m like ate run home real quick get something amp manager like yea whatever bro,2021-12-03 23:57:34+00:00,1
14,manager fucking funny 😭😭😭,2021-12-03 23:56:55+00:00,0
15,manager good stroke amp risk several next 3 weeks doctors aren’t sure she’ll paralyzed right side body not… please keep yalls prayers excited retirement year,2021-12-03 23:56:34+00:00,2
16,week worst redhead universe i’m back old self 🖤 also love took till today boss notice said looked badass looked christmas sweater paused… said “i don’t get aesthetic” bye bye ginnie eilish 😉,2021-12-03 23:56:26+00:00,0
17,boss listens rahat office👏🏼 kya bhaat🤲🏻,2021-12-03 23:56:22+00:00,2
18,boss bobby flay might issues,2021-12-03 23:55:36+00:00,0
19,boss sweet brought oragel peroxide medicine toothache 🥺💞,2021-12-03 23:55:15+00:00,0
20,bro love manager text “how u feel abt coming tonight” goes “yeah stay home” yee haw im goin bed like hour ☺️,2021-12-03 23:53:45+00:00,2
21,sitting car next boss getting tell won’t returning gas station today,2021-12-03 23:53:35+00:00,0
