number,text,date,fav
1,guess like flyers need petted cuddled good job go work perform high level without needing boss tell do,2021-12-05 23:59:53+00:00,0
2,still thinking bitch coworker didnt shit say boss yelled 😋😋😋 truly brings joy peace,2021-12-05 23:59:53+00:00,4
3,oh can’t wait talk boss five minutes getting disability accommodation can’t wait ptsd triggered second,2021-12-05 23:59:35+00:00,0
4,boss vacation can’t take unfortunately lol,2021-12-05 23:59:22+00:00,1
5,boss rn posting anime shit thats funny u fucking nerd,2021-12-05 23:58:35+00:00,0
6,that’s passive income 160k better 1hr still i’ve heard whining ‘my boss makes x deal don’t get anything’ sympathy me go start company boss think it’s easy,2021-12-05 23:57:43+00:00,0
7,tbh idk talk boss hhh,2021-12-05 23:57:30+00:00,0
8,boss left read solid 24 hours regarding covid results work week watch come bullshit last minute shit wants 🙃,2021-12-05 23:57:04+00:00,0
9,boss 💙💙💙💙💙,2021-12-05 23:57:00+00:00,0
10,girl told boss she’d f wife 😂😂,2021-12-05 23:56:58+00:00,0
11,browns home cyans work want boss know working hard ,2021-12-05 23:56:26+00:00,0
12,im glad theyre good communicator boss first job would change schedule without telling contacting give shit show shift  also expected call every day find changed not,2021-12-05 23:56:25+00:00,1
13,recruiter recently hired blabbed hiring new installer kitchen one senior guys knew guys made good amount me even trained 1 day refused raise boss,2021-12-05 23:56:08+00:00,1
14,boss ,2021-12-05 23:56:05+00:00,2
15,i played dnb gimmick even look music manager downloaded me ,2021-12-05 23:55:59+00:00,1
16, wears sapnap christmas sweater last year customer  nice sweater boss  i’m leaving,2021-12-05 23:54:53+00:00,3
17,tell boss every week😭i’m sick haha feel like mom,2021-12-05 23:54:52+00:00,0
18,manager became number 1 ana coach today gm ordered pizza today everyone got 23 pieces grabbed one decided id get another front everyone told id enough,2021-12-05 23:54:26+00:00,5
19,stand ground… shit ain’t nothing mess with… went shop 2 weeks ago also… manager died,2021-12-05 23:54:10+00:00,0
20,gave manager dressing he’s buying non stop drinks tonight teehee,2021-12-05 23:54:08+00:00,0
21,im interested part community ive experience playing axie average mmr 13k 14k mmr quit playing axie cause manager scam first payout bmp team before hoping part community,2021-12-05 23:53:57+00:00,0
22,boss,2021-12-05 23:53:30+00:00,1
23,literally saying last week manager like nigga fucked signing nigga,2021-12-05 23:53:26+00:00,0
24,boss really text bout covid test today😒 shit annoying,2021-12-05 23:53:22+00:00,0
25,phantoms dont like cats brb gotta tell boss,2021-12-05 23:53:21+00:00,2
26,boss got us pizza i’ma fat asshole heehee,2021-12-05 23:53:07+00:00,0
27,guys boss texted heard butter holiday remix cant make shit,2021-12-05 23:52:34+00:00,8
28,pretty much happened today manager lol dreamt screamed knowing anything,2021-12-05 23:52:23+00:00,0
29,boss guilt tripping i’m gonna kms let leave 😭,2021-12-05 23:51:40+00:00,2
30,cw  tic mention mention minor injury neck ticked hard boss made go sit think definitely pulled muscle neckshoulder area,2021-12-05 23:51:37+00:00,0
31,i’m tired boss let leave early,2021-12-05 23:51:24+00:00,0
32,based convo recently w bosss husband realize lot people know much time house chores like sweeping floor cleaning bathroom repairing old clothes etc takes,2021-12-05 23:51:19+00:00,2
33,cubists often relates directly reallife experiences feelings don’t tell boss fun fact many background objects actually ones house,2021-12-05 23:50:50+00:00,0
34,telling boss gave 13th 14th reason saying expects tape desk tonight😭😭😭 forreals🥲,2021-12-05 23:50:48+00:00,2
35,boss went conference last week spoke booktok like oh brigitte u heard thing maybe get onto booktok please note boss doesnt even like books library kissing,2021-12-05 23:50:39+00:00,2
36,told manager i’m going trip need shifts gave hours 🥺,2021-12-05 23:49:53+00:00,0
37,recruiters likely knew ins outs situation wanted know knew going on boss wanted peon  know anything supposed know  yet people would blab  small office,2021-12-05 23:48:41+00:00,1
38,lead pastor talks refused commit nda regards sexual abuse endured another pastor who boss staff,2021-12-05 23:48:15+00:00,3
39,actually get spring break next year manager trying plan cruise us 😂 she’s always something lol,2021-12-05 23:47:46+00:00,1
40,new job camp next summer amp call boss resign old position amp literally started crying said loved proud,2021-12-05 23:47:42+00:00,0
41,bruh heard boss call “not brightest” 😭💀💀,2021-12-05 23:47:33+00:00,3
42,wish wasn’t project manager company sometimes week prime example boss 30 hours zoom week every week though it’s going change,2021-12-05 23:47:29+00:00,1
43,working home thank gods gods manager ofc,2021-12-05 23:47:25+00:00,1
44,man might check boss gotta get first second third shot ,2021-12-05 23:46:53+00:00,0
45,eating feelings salad bc boss wants promote girl came 2 months ago i’ve almost year still making 14 dollars minimum wage,2021-12-05 23:46:34+00:00,2
46,boss,2021-12-05 23:46:33+00:00,0
47,manager ❤️,2021-12-05 23:46:22+00:00,0
48,boss told could transfer old gm super awesome involved new restaurant opening super cool stay ill make money faster safer option,2021-12-05 23:46:07+00:00,0
49,love feel easily replaceable people somehow feel better talking manager it,2021-12-05 23:46:06+00:00,14
50,might crime boss you’re boss 😋,2021-12-05 23:45:43+00:00,0
51,sg rangers manager time care less im rangers manager giovanni van brockhurst,2021-12-05 23:45:42+00:00,3
52,want buy machete boss won’t let,2021-12-05 23:45:21+00:00,1
53,lol dont think ever went mean least city part lol already let boss know im like better find backup hectic work hahah yeah saved vacation days 2020 year thats excuse,2021-12-05 23:45:04+00:00,0
54,haha boss said something similar 🤣,2021-12-05 23:44:52+00:00,1
55,boss likes fireball 🤦🏾‍♀️,2021-12-05 23:44:52+00:00,0
56,my boss great guy statement prove yall work discussing black stereotypes work wonder supports thinking public hes talking private,2021-12-05 23:44:37+00:00,0
57,shamelessly lick boss ass day long love idc,2021-12-05 23:44:13+00:00,0
58,boss says type hella gay she’s right accounts honor 👩🏽‍⚖️,2021-12-05 23:44:13+00:00,1
59,manager work spent like thirty minutes telling looked nice today wrong 🧿 ,2021-12-05 23:44:01+00:00,3
60,yeah understanding guy later caught pointed boss like think me shipmates believe it thus set vs hurt guess still strong feelings around all,2021-12-05 23:43:58+00:00,1
61,rent paid ive also talked boss since job traditional contract said fine paying daily basis hours essentially good now thank everyone helped ,2021-12-05 23:43:57+00:00,3
62,good luck kind thing always stresses hell last round feedback boss went rly well i’m passing energy 2 u,2021-12-05 23:43:44+00:00,1
63,wanna b manager,2021-12-05 23:43:00+00:00,0
64,boss verizon amp went europe called amp add international service limited time ability cancel etc can’t hurt call amp ask look online,2021-12-05 23:42:49+00:00,3
65,job thought boss creepy capable something alone would definitely show someone it’s right put people place demand respect get message,2021-12-05 23:42:34+00:00,3
66,woman literally put front boss kept pushing actual anxiety attack… twice hope find peace unhappy life miss,2021-12-05 23:42:22+00:00,0
67,oh god boss brought traveller tim’s day like battery acid,2021-12-05 23:42:14+00:00,1
68,manager screaming sbout much hates customers thr back rn,2021-12-05 23:41:43+00:00,1
69,my manager said dress like this guess requested thing suggestion box,2021-12-05 23:41:34+00:00,2
70,boss said i’m white tan…the caucasity…,2021-12-05 23:41:11+00:00,3
71,would homework got home work manager pissing giving attitude idc homework rn,2021-12-05 23:40:58+00:00,3
72,u survive retail also mentallly ill lmao cuz manager keeps telling look scared wants know problem im like 😶,2021-12-05 23:40:15+00:00,1
73,u aint boss yet gave raise damn ,2021-12-05 23:40:09+00:00,0
74,dumb it’s sad actually met bob dole terrific taking photo boss looked waved saying “hey don’t get here” picture taken searched everywhere can’t find rip,2021-12-05 23:40:06+00:00,18
75,manager like “give second i’m tryna teach kids pussys” lmao love,2021-12-05 23:39:55+00:00,0
76,manager gives shit unable come days set aside start im gonna quit lol ain’t worth,2021-12-05 23:39:52+00:00,1
77,water line cooler broken like 3 weeks think broke even squirting water everywhere boss like idk lol,2021-12-05 23:39:41+00:00,2
78,manager like want leave early stay full shift like please let leave thinking would like 5 he’s like okay bye  i’m like oh right  byeeee 🏃🏻‍♀️🏃🏻‍♀️🏃🏻‍♀️no take backs,2021-12-05 23:39:05+00:00,2
79,manager told look “healthier” today … absolutely,2021-12-05 23:38:09+00:00,2
80,im interested part community ive experience playing axie average mmr 13k 14k mmr quit playing axie cause manager scam first payout bmp team before hoping part community,2021-12-05 23:37:14+00:00,0
81,got hit project originally agreed backed months later tense decision manager turns made right decision lol,2021-12-05 23:36:52+00:00,4
82,know many relate boss kinda dope,2021-12-05 23:36:28+00:00,0
83,im interested part community ive experience playing axie average mmr 13k 14k mmr quit playing axie cause manager scam first payout bmp team before hoping part community,2021-12-05 23:36:15+00:00,2
84,i’ve spent plenty time children boss child psychologist don’t tell know don’t know,2021-12-05 23:36:10+00:00,0
85,manager cunt no ill tell girls careful though,2021-12-05 23:36:09+00:00,1
86,happy lovemy manager,2021-12-05 23:36:03+00:00,0
87,know boss logged computer probably friday gave notice took away access stuff id gather logging admin account it got bad feeling that saw wanting meeting monday,2021-12-05 23:35:29+00:00,1
88,manager asked back phone case like uhh explain haechan pc 😀,2021-12-05 23:35:20+00:00,0
89,angers boss knew problems thought could trust him,2021-12-05 23:34:38+00:00,2
90,boss always takes 25 years pay like can’t remember friday,2021-12-05 23:34:16+00:00,0
91,boss flirting 2 days 🥴 gave bottle wine 🥴,2021-12-05 23:34:12+00:00,0
92,boss told good day went home,2021-12-05 23:34:02+00:00,0
93,never tip vancouver entertaining clients boss manage wine listso bring good bottlethen called next day complain bottle cost,2021-12-05 23:34:00+00:00,1
94,gonna enter inactive social media manager took passwords era,2021-12-05 23:33:51+00:00,1
