number,text,date,fav
1,good day manager im looking scholarship experience playing axie infinity manager sharing 1585 team maam rap return account sharing first day grind account 153 mmr 3 days sir 1500,2021-12-01 23:59:51+00:00,1
2,stress manager direct colleagues bless heart cause like 😁,2021-12-01 23:59:45+00:00,12
3,good day manager im looking scholarship experience playing axie infinity manager sharing 1585 team maam rap return account sharing first day grind account 153 mmr 3 days sir 1500,2021-12-01 23:59:43+00:00,1
4,lets see boss sends home early today since theme wednesdays,2021-12-01 23:59:32+00:00,0
5,boss literally tells life story random person calls library,2021-12-01 23:59:24+00:00,4
6,boss gonna get nerves,2021-12-01 23:59:22+00:00,0
7,party work boss forced eat like 10 cookies im sick 🤮,2021-12-01 23:59:22+00:00,4
8,boss told intelligent tenacious warm highly valuable told knew i’d really sad past months crushing work someone struggles self worth imposter syndrome i ,2021-12-01 23:59:00+00:00,9
9,boss sent terrifying “can come back office” message im could tell i’m getting raise 😁🤑,2021-12-01 23:58:30+00:00,9
10,can’t wait roast shit boss executive dysfunction unfriendly training,2021-12-01 23:57:45+00:00,1
11,perks attending events boss get meet famous people 😇,2021-12-01 23:57:38+00:00,0
12,boss gave 🤢 ,2021-12-01 23:57:36+00:00,4
13,boss,2021-12-01 23:57:26+00:00,0
14,got called work using “a whole ” yesterday one upped “you sure wasn’t half” manager lol ,2021-12-01 23:57:25+00:00,0
15,hes hit manager creepy  wtf,2021-12-01 23:57:18+00:00,0
16,gonna try make boss watch final space update goes,2021-12-01 23:57:10+00:00,26
17,manager put together variable links contents confluence page me arranged order effective learning process environments  still referring need retrieve somethings far,2021-12-01 23:56:52+00:00,0
18,aight y’all 💀 today lady made psa i’m rude attitude talk her told boss even zoom meeting,2021-12-01 23:56:46+00:00,1
19,“manager” sees pearly gates ,2021-12-01 23:56:36+00:00,16
20,trusting expert trading signals never option robert ostler recommended manager giving try awesome something go home,2021-12-01 23:56:32+00:00,0
21,texted boss “yo” lmao what’s wrong 🤣😭,2021-12-01 23:56:32+00:00,0
22,boss keep passing oysters enabler,2021-12-01 23:56:31+00:00,0
23,working part time fiveanddime boss mr mcgee told several times like kind cause bit leisurely,2021-12-01 23:56:22+00:00,0
24,ima tell manager need new shit 😂😂,2021-12-01 23:55:47+00:00,0
25,told boss ain’t coming work friday nigga said ay que trabajarlo hasta que se le sale la caca 😭😭😭😭 niggg dying laughter day shittt ,2021-12-01 23:55:23+00:00,1
26,bc boss would’ve beat ass didn’t show simply sleeping bc might still beat ass lol,2021-12-01 23:55:12+00:00,1
27,kind funny seeing old position former job indeed language use describe it saying take various intensities workload stride lmao also manage lot boss busy give lot direction,2021-12-01 23:55:09+00:00,0
